temper,bias_qb,q_fall,qb_fall,q_rise,qb_rise,alter#
25.0000000,0.5900000,NaN,2.277406e-09,2.270455e-09,NaN,1.0000000
25.0000000,0.5910000,NaN,2.335409e-09,2.328327e-09,NaN,1.0000000
25.0000000,0.5920000,NaN,2.399485e-09,2.392421e-09,NaN,1.0000000
25.0000000,0.5930000,NaN,2.478723e-09,2.471784e-09,NaN,1.0000000
25.0000000,0.5940000,NaN,2.582478e-09,2.575372e-09,NaN,1.0000000
25.0000000,0.5950000,NaN,2.704293e-09,2.697119e-09,NaN,1.0000000
25.0000000,0.5960000,NaN,2.882929e-09,2.875800e-09,NaN,1.0000000
25.0000000,0.5970000,NaN,3.245362e-09,3.238270e-09,NaN,1.0000000
25.0000000,0.5980000,NaN,NaN,NaN,NaN,1.0000000
25.0000000,0.5990000,NaN,NaN,NaN,NaN,1.0000000
25.0000000,0.6000000,NaN,NaN,NaN,NaN,1.0000000
25.0000000,0.6010000,NaN,NaN,NaN,NaN,1.0000000
25.0000000,0.6020000,3.830739e-09,NaN,NaN,3.823607e-09,1.0000000
25.0000000,0.6030000,3.102837e-09,NaN,NaN,3.095611e-09,1.0000000
25.0000000,0.6040000,2.863843e-09,NaN,NaN,2.856718e-09,1.0000000
25.0000000,0.6050000,2.689640e-09,NaN,NaN,2.682306e-09,1.0000000
25.0000000,0.6060000,2.573133e-09,NaN,NaN,2.565865e-09,1.0000000
25.0000000,0.6070000,2.478443e-09,NaN,NaN,2.471173e-09,1.0000000
25.0000000,0.6080000,2.408292e-09,NaN,NaN,2.401013e-09,1.0000000
25.0000000,0.6090000,2.339927e-09,NaN,NaN,2.332624e-09,1.0000000
25.0000000,0.6100000,2.280574e-09,NaN,NaN,2.273127e-09,1.0000000
25.0000000,0.6110000,2.224612e-09,NaN,NaN,2.217208e-09,1.0000000
25.0000000,0.6120000,2.172658e-09,NaN,NaN,2.165134e-09,1.0000000
25.0000000,0.6130000,2.136555e-09,NaN,NaN,2.128900e-09,1.0000000
25.0000000,0.6140000,2.096993e-09,NaN,NaN,2.089382e-09,1.0000000
25.0000000,0.6150000,2.057221e-09,NaN,NaN,2.049580e-09,1.0000000
25.0000000,0.6160000,2.023886e-09,NaN,NaN,2.016113e-09,1.0000000
25.0000000,0.6170000,1.990469e-09,NaN,NaN,1.982543e-09,1.0000000
25.0000000,0.6180000,1.957702e-09,NaN,NaN,1.949680e-09,1.0000000
25.0000000,0.6190000,1.930535e-09,NaN,NaN,1.922373e-09,1.0000000
25.0000000,0.6200000,1.903563e-09,NaN,NaN,1.895287e-09,1.0000000
25.0000000,0.6210000,1.880056e-09,NaN,NaN,1.871629e-09,1.0000000
25.0000000,0.6220000,1.852942e-09,NaN,NaN,1.844485e-09,1.0000000
25.0000000,0.6230000,1.828258e-09,NaN,NaN,1.819637e-09,1.0000000
25.0000000,0.6240000,1.805419e-09,NaN,NaN,1.796644e-09,1.0000000
25.0000000,0.6250000,1.783391e-09,NaN,NaN,1.774528e-09,1.0000000
25.0000000,0.6260000,1.761703e-09,NaN,NaN,1.752601e-09,1.0000000
25.0000000,0.6270000,1.743133e-09,NaN,NaN,1.733884e-09,1.0000000
25.0000000,0.6280000,1.724184e-09,NaN,NaN,1.714697e-09,1.0000000
25.0000000,0.6290000,1.705395e-09,NaN,NaN,1.695815e-09,1.0000000
25.0000000,0.6300000,1.686674e-09,NaN,NaN,1.676981e-09,1.0000000
25.0000000,0.6310000,1.669138e-09,NaN,NaN,1.659303e-09,1.0000000
25.0000000,0.6320000,1.652048e-09,NaN,NaN,1.641973e-09,1.0000000
25.0000000,0.6330000,1.634760e-09,NaN,NaN,1.624432e-09,1.0000000
25.0000000,0.6340000,1.619101e-09,NaN,NaN,1.608643e-09,1.0000000
25.0000000,0.6350000,1.604084e-09,NaN,NaN,1.593378e-09,1.0000000
25.0000000,0.6360000,1.590075e-09,NaN,NaN,1.579204e-09,1.0000000
25.0000000,0.6370000,1.575486e-09,NaN,NaN,1.564356e-09,1.0000000
25.0000000,0.6380000,1.560616e-09,NaN,NaN,1.549274e-09,1.0000000
25.0000000,0.6390000,1.546927e-09,NaN,NaN,1.535320e-09,1.0000000
25.0000000,0.6400000,1.534767e-09,NaN,NaN,1.522879e-09,1.0000000
25.0000000,0.6410000,1.521745e-09,NaN,NaN,1.509679e-09,1.0000000
25.0000000,0.6420000,1.508786e-09,NaN,NaN,1.496279e-09,1.0000000
25.0000000,0.6430000,1.496089e-09,NaN,NaN,1.483470e-09,1.0000000
25.0000000,0.6440000,1.483870e-09,NaN,NaN,1.470938e-09,1.0000000
25.0000000,0.6450000,1.471205e-09,NaN,NaN,1.457983e-09,1.0000000
25.0000000,0.6460000,1.460319e-09,NaN,NaN,1.446900e-09,1.0000000
25.0000000,0.6470000,1.447975e-09,NaN,NaN,1.434263e-09,1.0000000
25.0000000,0.6480000,1.438615e-09,NaN,NaN,1.424627e-09,1.0000000
25.0000000,0.6490000,1.425846e-09,NaN,NaN,1.411518e-09,1.0000000
25.0000000,0.6500000,1.416024e-09,NaN,NaN,1.401457e-09,1.0000000
